id;goal_id;goal;makedate;user_id;origin_id;origin;degree_id_1;degree_name_1;degree_origin_1;subject_id_1;subject_name_1;subject_origin_id_1;semester_1;degree_id_2;degree_name_2;degree_origin_2;subject_id_2;subject_name_2;subject_origin_id_2;semester_2;degree_id_3;degree_name_3;degree_origin_3;subject_id_3;subject_name_3;subject_origin_id_3;semester_3;degree_id_4;degree_name_4;degree_origin_4;subject_id_4;subject_name_4;subject_origin_id_4;semester_4;degree_id_5;degree_name_5;degree_origin_5;subject_id_5;subject_name_5;subject_origin_id_5;semester_5;social goals;communication and contact;volunteer work and idealism;career goals;grades;duration of studies;graduation;orientation;job opportunities;networking;status and wealth;safety;educational goals;knowledge;comprehension;competences;personal growth;scientific methods;concrete goals;practical experiences;going abroad;foreign languages;temporal scope;within this semester;within studies;beyond studies;private or professional;professional;private;other tags;nonsense;fun, happiness, satisfaction;S.M.A.R.T.;programming;too vague;sport
0;2695;Mich für einen Master-Studiengang entscheiden;2019-05-16 12:45:07.525459+00:00;id: de.uos.studip, origin: f44f313d4dd5d5ef63c09e8d5a2fd229;f44f313d4dd5d5ef63c09e8d5a2fd229;de.uos.studip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;True;True;False;False;False;False;False;False;False;False
1;2696;Cognitive Psychology bestehen;2019-05-16 12:47:15.048166+00:00;id: de.uos.studip, origin: 1646da135776558f5e021defa60e8bbe;1646da135776558f5e021defa60e8bbe;de.uos.studip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;True;True;False;True;False;False;True;False;False;False
2;530;Den Freiversuch (8. Semester) wahrnehmen und bestehen.;2019-02-21 08:58:58.548000+00:00;id: de.uos.studip, origin: 718c7aa149c9ff53125ed0122351b2a1;718c7aa149c9ff53125ed0122351b2a1;de.uos.studip;13.0;Erste Prüfung (jur.);8;24.0;Rechtswissenschaft;135;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;True;True;False;True;False;False;True;False;False;False
3;539;Abschluss;2019-02-22 10:39:35.801000+00:00;id: de.uos.studip, origin: 889b1764c17fbbf0dfc719ccf0a8023e;889b1764c17fbbf0dfc719ccf0a8023e;de.uos.studip;5.0;Bachelor of Science;14;29.0;Wirtschaftswissenschaft;884;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;True;True;False;False;False;False;False;False;False;False
4;617;Bildung ;2019-02-27 10:39:59.594000+00:00;id: de.uos.studip, origin: b812002e0ae95b464100279f1149cd8a;b812002e0ae95b464100279f1149cd8a;de.uos.studip;8.0;2-Fächer-Bachelor;91;10.0;Anglistik / Englisch;8;4.0;8.0;2-Fächer-Bachelor;91;40.0;Kunst/Kunstpädagogik;925;4.0;;;;;;;;;;;;;;;;;;;;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False
5;1405;Kontakte knüpfen;2019-04-08 14:36:11.546000+00:00;id: de.uni-bremen.elearning, origin: de0b6438d9b6770e77058cc0026230fd;de0b6438d9b6770e77058cc0026230fd;de.uni-bremen.elearning;17.0;;none;75.0;Rechtswissenschaft (Staatsexamen);265;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;True;True;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
6;49;durch breite Kursauswahl meinen Horizont erweitern;2019-02-08 11:32:50.683000+00:00;id: de.uos.studip, origin: 4e46bc31e6d7e10db29d9ef5c53d63df;4e46bc31e6d7e10db29d9ef5c53d63df;de.uos.studip;5.0;Bachelor of Science;14;1.0;Cognitive Science;729;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False
7;51;Spaß am Studium;2019-02-08 11:34:15.685000+00:00;id: de.uos.studip, origin: 867c5a86d1426d0e1a6ce9926f51266d;867c5a86d1426d0e1a6ce9926f51266d;de.uos.studip;5.0;Bachelor of Science;14;1.0;Cognitive Science;729;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;True;False;True;False;False;False;False
8;52;einen Überblick über das Themenfeld bekommen um einen passenden Masterstudiengang und Beruf wählen zu können;2019-02-08 11:34:40.769000+00:00;id: de.uos.studip, origin: 4e46bc31e6d7e10db29d9ef5c53d63df;4e46bc31e6d7e10db29d9ef5c53d63df;de.uos.studip;5.0;Bachelor of Science;14;1.0;Cognitive Science;729;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;False;False;False;False;False;False;False;False
9;53;etwas lernen, dass mich auf die Arbeitswelt vorbereitet;2019-02-08 11:35:04.544000+00:00;id: de.uos.studip, origin: 867c5a86d1426d0e1a6ce9926f51266d;867c5a86d1426d0e1a6ce9926f51266d;de.uos.studip;5.0;Bachelor of Science;14;1.0;Cognitive Science;729;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;False;False;True;False;False;False;False;True;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False
